Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D),Date,High_Flow_Event
1/02/2007 8:00,0.026,0,0.151,2007-02-01,0
1/03/2007 8:00,0.16,0,0.524,2007-03-01,0
1/04/2007 8:00,3.94,0.197,70.362,2007-04-01,0
1/05/2007 8:00,1.2,0.333,4.812,2007-05-01,0
1/06/2007 8:00,1.185,0.227,7.075,2007-06-01,0
1/07/2007 8:00,348.061,0.242,14390.73,2007-07-01,1
1/08/2007 8:00,12.464,2.505,45.038,2007-08-01,0
1/09/2007 8:00,415.058,0.524,20836.097,2007-09-01,1
1/10/2007 8:00,30.85,1.68,465.71,2007-10-01,0
1/11/2007 8:00,1.385,0.378,8.979,2007-11-01,0
1/12/2007 8:00,138.821,0.814,3690.23,2007-12-01,0
1/01/2008 8:00,58.927,4.237,1646.54,2008-01-01,0
1/02/2008 8:00,208.672,1.737,4782.457,2008-02-01,0
1/03/2008 8:00,201.503,12.384,2331.319,2008-03-01,0
1/04/2008 8:00,12.459,1.972,76.107,2008-04-01,0
1/05/2008 8:00,916.838,2.415,12954.871,2008-05-01,1
1/06/2008 8:00,17.907,4.626,301.091,2008-06-01,0
1/07/2008 8:00,80.817,4.626,2494.081,2008-07-01,0
1/08/2008 8:00,13.29,2.284,193.332,2008-08-01,0
1/09/2008 8:00,4.97,1.36,24.293,2008-09-01,0
1/10/2008 8:00,283.454,2.22,7903.015,2008-10-01,1
1/11/2008 8:00,4.588,1.625,29.314,2008-11-01,0
1/12/2008 8:00,5.766,0.557,106.313,2008-12-01,0
1/01/2009 8:00,17.065,0.855,473.1,2009-01-01,0
1/02/2009 8:00,0.509,0.172,1.833,2009-02-01,0
1/03/2009 8:00,612.621,0,9791.55,2009-03-01,1
1/04/2009 8:00,28.823,1.117,2290.546,2009-04-01,0
1/05/2009 8:00,275.997,8.854,4889.321,2009-05-01,0
1/06/2009 8:00,280.905,3.047,5214.316,2009-06-01,1
1/07/2009 8:00,310.767,12.207,4814.438,2009-07-01,1
1/08/2009 8:00,14.896,6.03,36.811,2009-08-01,0
1/09/2009 8:00,2.95,0.938,6.03,2009-09-01,0
1/10/2009 8:00,0.746,0.43,0.938,2009-10-01,0
1/11/2009 8:00,4.229,0.401,61.135,2009-11-01,0
1/12/2009 8:00,242.115,0.698,8893.896,2009-12-01,0
1/01/2010 8:00,13.279,0.318,405.809,2010-01-01,0
1/02/2010 8:00,34.168,0.43,983.402,2010-02-01,0
1/03/2010 8:00,13.226,1.056,117.563,2010-03-01,0
1/04/2010 8:00,3.137,0.333,26.51,2010-04-01,0
1/05/2010 8:00,0.6,0.318,2.284,2010-05-01,0
1/06/2010 8:00,0.258,0.076,0.918,2010-06-01,0
1/07/2010 8:00,36.775,0.855,1083.158,2010-07-01,0
1/08/2010 8:00,39.552,0.661,603.565,2010-08-01,0
1/09/2010 8:00,45.211,1.163,1152.034,2010-09-01,0
1/10/2010 8:00,0.73,0.348,1.625,2010-10-01,0
1/11/2010 8:00,26.79,0.378,299.696,2010-11-01,0
1/12/2010 8:00,133.634,4.266,2108.019,2010-12-01,0
1/01/2011 8:00,96.567,1.57,3734.098,2011-01-01,0
1/02/2011 8:00,35.629,1.026,1104.604,2011-02-01,0
1/03/2011 8:00,2.407,0.43,12.562,2011-03-01,0
1/04/2011 8:00,146.786,0.227,8572.32,2011-04-01,0
1/05/2011 8:00,126.92,9.879,3725.315,2011-05-01,0
1/06/2011 8:00,84.47,2.415,2796.746,2011-06-01,0
1/07/2011 8:00,840.945,13.474,18961.532,2011-07-01,1
1/08/2011 8:00,238.124,4.719,4153.72,2011-08-01,0
1/09/2011 8:00,54.57,6.742,924.67,2011-09-01,0
1/10/2011 8:00,24.454,1.737,732.052,2011-10-01,0
1/11/2011 8:00,94.695,3.121,3153.582,2011-11-01,0
1/12/2011 8:00,258.037,1.36,4221.819,2011-12-01,0
1/01/2012 8:00,60.709,6.742,1985.891,2012-01-01,0
1/02/2012 8:00,86.82,0.698,4715.161,2012-02-01,0
1/03/2012 8:00,774.789,12.032,10871.606,2012-03-01,1
1/04/2012 8:00,10.485,4.355,35.086,2012-04-01,0
1/05/2012 8:00,8.327,1.912,41.098,2012-05-01,0
1/06/2012 8:00,1.864,0.524,6.31,2012-06-01,0
1/07/2012 8:00,37.266,0.736,210.727,2012-07-01,0
1/08/2012 8:00,30.842,5.789,248.397,2012-08-01,0
1/09/2012 8:00,53.833,2.094,808.441,2012-09-01,0
1/10/2012 8:00,0.824,0.273,2.415,2012-10-01,0
1/11/2012 8:00,0.324,0.182,0.491,2012-11-01,0
1/12/2012 8:00,0.187,0.136,0.242,2012-12-01,0
1/01/2013 8:00,0.615,0,9.232,2013-01-01,0
1/02/2013 8:00,295.543,0.167,10935.964,2013-02-01,1
1/03/2013 8:00,720.292,3.197,17564.822,2013-03-01,1
1/04/2013 8:00,694.854,3.273,16119.251,2013-04-01,1
1/05/2013 8:00,7.308,2.618,56.597,2013-05-01,0
1/06/2013 8:00,43.345,0.698,1041.102,2013-06-01,0
1/07/2013 8:00,168.43,5.29,2765.18,2013-07-01,0
1/08/2013 8:00,41.523,3.588,673.485,2013-08-01,0
1/09/2013 8:00,1.462,0.46,3.588,2013-09-01,0
1/10/2013 8:00,0.316,0.197,0.46,2013-10-01,0
1/11/2013 8:00,0.101,0,0.197,2013-11-01,0
1/12/2013 8:00,17.008,0,255.898,2013-12-01,0
1/01/2014 8:00,3.509,0.227,47.328,2014-01-01,0
1/02/2014 8:00,0.045,0,0.273,2014-02-01,0
1/03/2014 8:00,0,0,0.03,2014-03-01,0
1/04/2014 8:00,0.49,0.03,1.071,2014-04-01,0
1/05/2014 8:00,8.721,0.106,2698.195,2014-05-01,0
1/06/2014 8:00,0.515,0.136,2.157,2014-06-01,0
1/07/2014 8:00,0.235,0.03,0.46,2014-07-01,0
1/08/2014 8:00,0.001,0,0.03,2014-08-01,0
1/09/2014 8:00,32.638,0,918.293,2014-09-01,0
1/10/2014 8:00,7.14,0.318,42.864,2014-10-01,0
1/11/2014 8:00,0.278,0,0.591,2014-11-01,0
1/12/2014 8:00,0,0,0.045,2014-12-01,0
1/01/2015 8:00,7.427,0,78.486,2015-01-01,0
1/02/2015 8:00,1.099,0.197,11.236,2015-02-01,0
1/03/2015 8:00,0.351,0.136,1.309,2015-03-01,0
1/04/2015 8:00,159.574,0.288,10547.062,2015-04-01,0
1/05/2015 8:00,103.405,3.427,1781.672,2015-05-01,0
1/06/2015 8:00,338.064,9.232,5963.328,2015-06-01,1
1/07/2015 8:00,9.667,4.445,44.307,2015-07-01,0
1/08/2015 8:00,1.652,0.775,4.445,2015-08-01,0
1/09/2015 8:00,0.55,0.288,1.26,2015-09-01,0
1/10/2015 8:00,35.952,0.273,431.598,2015-10-01,0
1/11/2015 8:00,4.938,0.43,51.421,2015-11-01,0
1/12/2015 8:00,48.65,1.309,1065.5,2015-12-01,0
1/01/2016 8:00,48.418,0.491,3941.496,2016-01-01,0
1/02/2016 8:00,446.397,4.266,11970.578,2016-02-01,1
1/03/2016 8:00,21.663,1.51,725.961,2016-03-01,0
1/04/2016 8:00,35.524,0.939,2907.897,2016-04-01,0
1/05/2016 8:00,4.693,1.261,33.253,2016-05-01,0
1/06/2016 8:00,0.81,0.419,1.51,2016-06-01,0
1/07/2016 8:00,221.583,0.399,8515.052,2016-07-01,0
1/08/2016 8:00,14.83,3.588,230.013,2016-08-01,0
1/09/2016 8:00,101.23,4.256,2710.829,2016-09-01,0
1/10/2016 8:00,8.668,1.914,56.764,2016-10-01,0
1/11/2016 8:00,1.243,0.601,2.374,2016-11-01,0
1/12/2016 8:00,1.663,0.462,10.037,2016-12-01,0
1/01/2017 8:00,0.378,0.003,0.677,2017-01-01,0
1/02/2017 8:00,0.185,0,0.601,2017-02-01,0
1/03/2017 8:00,0.002,0,0.249,2017-03-01,0
1/04/2017 8:00,589.009,0.249,8507.144,2017-04-01,1
1/05/2017 8:00,93.962,6.496,493.075,2017-05-01,0
1/06/2017 8:00,4.679,1.51,48.142,2017-06-01,0
1/07/2017 8:00,33.564,1.147,251.336,2017-07-01,0
1/08/2017 8:00,4.145,1.261,19.961,2017-08-01,0
1/09/2017 8:00,0.83,0.151,1.641,2017-09-01,0
1/10/2017 8:00,0.056,0,0.249,2017-10-01,0
1/11/2017 8:00,2.523,0,145.976,2017-11-01,0
1/12/2017 8:00,3.484,0.34,28.136,2017-12-01,0
1/01/2018 8:00,1.238,0.003,73.2,2018-01-01,0
1/02/2018 8:00,0.84,0.285,10.897,2018-02-01,0
1/03/2018 8:00,0.253,0,0.715,2018-03-01,0
1/04/2018 8:00,522.136,0.626,18229.606,2018-04-01,1
1/05/2018 8:00,3.777,0.939,15.163,2018-05-01,0
1/06/2018 8:00,0.708,0.462,1.382,2018-06-01,0
1/07/2018 8:00,18.454,0.507,238.648,2018-07-01,0
1/08/2018 8:00,1.867,0.419,5.945,2018-08-01,0
1/09/2018 8:00,0.237,0.06,0.626,2018-09-01,0
1/10/2018 8:00,0.46,0.151,1.445,2018-10-01,0
1/11/2018 8:00,35.526,0.168,283.506,2018-11-01,0
1/12/2018 8:00,0.81,0.34,3.181,2018-12-01,0
1/01/2019 8:00,1.845,0.06,131.751,2019-01-01,0
1/02/2019 8:00,0.049,0,0.206,2019-02-01,0
1/03/2019 8:00,59.958,0,5495.32,2019-03-01,0
1/04/2019 8:00,0.447,0.249,0.757,2019-04-01,0
1/05/2019 8:00,0.462,0.151,1.843,2019-05-01,0
1/06/2019 8:00,0.132,0,0.399,2019-06-01,0
1/07/2019 8:00,0.023,0,0.081,2019-07-01,0
1/08/2019 8:00,0.004,0,0.023,2019-08-01,0
1/09/2019 8:00,0,0,0,2019-09-01,0
1/10/2019 8:00,0,0,0,2019-10-01,0
1/11/2019 8:00,0,0,0,2019-11-01,0
1/12/2019 8:00,0,0,0,2019-12-01,0
1/01/2020 8:00,0,0,0,2020-01-01,0
1/02/2020 8:00,67.238,0,9189.041,2020-02-01,0
1/03/2020 8:00,844.005,0,20625.533,2020-03-01,1
1/04/2020 8:00,193.353,4.495,3394.279,2020-04-01,0
1/05/2020 8:00,13.808,0,135.221,2020-05-01,0
1/06/2020 8:00,1.119,0.601,2.804,2020-06-01,0
1/07/2020 8:00,28.791,0.891,416.224,2020-07-01,0
1/08/2020 8:00,111.689,1.039,4753.797,2020-08-01,0
1/09/2020 8:00,18.011,1.577,151.531,2020-09-01,0
1/10/2020 8:00,0.932,0.187,4.026,2020-10-01,0
1/11/2020 8:00,1.734,0.081,54.77,2020-11-01,0
1/12/2020 8:00,1.484,0.151,9.348,2020-12-01,0
1/01/2021 8:00,247.914,0,5339.714,2021-01-01,0
1/02/2021 8:00,402.7,5.549,6046.622,2021-02-01,1
1/03/2021 8:00,675.799,14.036,8529.655,2021-03-01,1
1/04/2021 8:00,2556.523,18.869,36146.587,2021-04-01,1
1/05/2021 8:00,59.14,11.476,581.645,2021-05-01,0
1/06/2021 8:00,13.672,5.452,153.103,2021-06-01,0
1/07/2021 8:00,58.479,4.71,918.546,2021-07-01,0
1/08/2021 8:00,59.843,4.534,1393.032,2021-08-01,0
1/09/2021 8:00,2.49,1.216,4.982,2021-09-01,0
1/10/2021 8:00,1.406,0.755,2.853,2021-10-01,0
1/11/2021 8:00,4.289,0.949,44.828,2021-11-01,0
1/12/2021 8:00,186.796,0.593,4060.869,2021-12-01,0
1/01/2022 8:00,53.054,5.167,1645.51,2022-01-01,0
1/02/2022 8:00,3.983,1.034,11.616,2022-02-01,0
