Date,Est_code,Zone,Site,Rep,Sample_code,Period_code,Sp_code,CL_mm,Sex,Gonad_stage,Gear,Author,Moult_stage,Egg_Stage,Notes/ Label Names,,
181101,PST,,3,5,181101.PST.3.5,201811,PORARM,64,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,5,181101.PST.3.5,201811,PORARM,78,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,32,M,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,33,M,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,41,F,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,44,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,46,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,54,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,57,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,59,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,6,181101.PST.3.6,201811,PORARM,69,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,7,181101.PST.3.7,201811,PORARM,52,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,7,181101.PST.3.7,201811,PORARM,53,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,7,181101.PST.3.7,201811,PORARM,56,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,7,181101.PST.3.7,201811,PORARM,57,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,7,181101.PST.3.7,201811,PORARM,66,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,7,181101.PST.3.7,201811,PORARM,71,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,7,181101.PST.3.7,201811,PORARM,78,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,8,181101.PST.3.8,201811,PORARM,60,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,8,181101.PST.3.8,201811,PORARM,60,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,8,181101.PST.3.8,201811,PORARM,62,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,8,181101.PST.3.8,201811,PORARM,63,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,8,181101.PST.3.8,201811,PORARM,66,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,8,181101.PST.3.8,201811,PORARM,68,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,8,181101.PST.3.8,201811,PORARM,72,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,9,181101.PST.3.9,201811,PORARM,59,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,9,181101.PST.3.9,201811,PORARM,62,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,9,181101.PST.3.9,201811,PORARM,67,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,9,181101.PST.3.9,201811,PORARM,68,F,BERRIED,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,9,181101.PST.3.9,201811,PORARM,70,F,BERRIED,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,9,181101.PST.3.9,201811,PORARM,70,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,1,181101.PST.4.1,201811,PORARM,54,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,1,181101.PST.4.1,201811,PORARM,54,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,1,181101.PST.4.1,201811,PORARM,56,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,1,181101.PST.4.1,201811,PORARM,59,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,1,181101.PST.4.1,201811,PORARM,63,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,1,181101.PST.4.1,201811,PORARM,65,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,1,181101.PST.4.1,201811,PORARM,66,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,1,181101.PST.4.1,201811,PORARM,74,F,BERRIED,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,39,M,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,54,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,54,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,61,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,61,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,62,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,62,M,MATURE,SMALL,HANAMSETH,SOFT,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,64,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,64,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,66,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,10,181101.PST.4.10,201811,PORARM,75,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,47,M,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,56,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,56,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,56,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,57,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,59,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,59,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,59,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,59,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,60,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,64,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,71,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,44,M,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,52,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,55,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,55,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,56,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,56,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,57,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,57,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,61,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,61,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,62,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,64,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,5,181101.PST.4.5,201811,PORARM,55,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,5,181101.PST.4.5,201811,PORARM,59,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,5,181101.PST.4.5,201811,PORARM,61,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,5,181101.PST.4.5,201811,PORARM,64,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,5,181101.PST.4.5,201811,PORARM,67,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,44,F,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,49,M,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,53,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,59,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,60,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,62,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,62,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,62,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,62,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,64,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,64,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,75,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,6,181101.PST.4.6,201811,PORARM,76,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,7,181101.PST.4.7,201811,PORARM,59,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,7,181101.PST.4.7,201811,PORARM,62,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,7,181101.PST.4.7,201811,PORARM,62,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,7,181101.PST.4.7,201811,PORARM,63,F,BERRIED,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,7,181101.PST.4.7,201811,PORARM,66,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,7,181101.PST.4.7,201811,PORARM,71,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,8,181101.PST.4.8,201811,PORARM,29,M,IMMATURE,SMALL,HANAMSETH,HARD,,,,
