Location,Year,Month,count,UpWind
32.1806,2005,3,744,-2060.7920030900755
32.1806,2005,4,720,2190.6875187940427
32.1806,2005,5,744,-6754.6021719454375
32.1806,2005,6,720,1106.7988892522437
32.1806,2005,7,744,-5495.457126686551
32.1806,2005,8,744,-2537.735527000401
32.1806,2005,9,720,-991.8586819703735
32.1806,2005,10,744,3121.3461088527183
32.1806,2005,11,720,3251.8426653206943
32.1806,2005,12,744,2428.4875293070777
32.1806,2006,1,744,6928.055465370495
32.1806,2006,2,672,3563.1110703990134
32.1806,2006,3,744,3553.459062835814
32.1806,2006,4,720,-3350.236573922803
32.1806,2006,5,744,-5109.836443566467
32.1806,2006,6,720,-6869.153470497657
32.1806,2006,7,744,-4773.465747756027
32.1806,2006,8,744,-4115.8210859134815
32.1806,2006,9,720,718.6679770589469
32.1806,2006,10,744,3364.7676182761843
32.1806,2006,11,720,666.3774305902035
32.1806,2006,12,744,6288.866290516918
32.1806,2007,1,744,6994.205304750498
32.1806,2007,2,672,7396.7611952800025
32.1806,2007,3,744,1348.8415404523967
32.1806,2007,4,720,-2378.919343945901
32.1806,2007,5,744,11.06622112556977
32.1806,2007,6,720,-8529.015928654959
32.1806,2007,7,744,-9355.128781115201
32.1806,2007,8,744,-2019.03734766101
32.1806,2007,9,720,-301.1567781073505
32.1806,2007,10,744,2280.3840139875574
32.1806,2007,11,720,5535.408659823593
32.1806,2007,12,744,3620.1392323017076
32.1806,2008,1,744,4142.549722242328
32.1806,2008,2,696,-521.2791190907244
32.1806,2008,3,744,2301.031531998203
32.1806,2008,4,720,-4548.040105913756
32.1806,2008,5,744,-4806.699766471794
32.1806,2008,6,720,-5892.568295000916
32.1806,2008,7,744,-5006.316010800758
32.1806,2008,8,744,-8218.065721628174
32.1806,2008,9,720,302.9952557384327
32.1806,2008,10,744,1638.1896353139334
32.1806,2008,11,720,2165.231674671325
32.1806,2008,12,744,2525.537935024933
32.1806,2009,1,744,7499.114901856755
32.1806,2009,2,672,4085.3094283052787
32.1806,2009,3,744,4304.1943324215745
32.1806,2009,4,720,-2793.31927306028
32.1806,2009,5,744,-1856.6149200224595
32.1806,2009,6,720,-1833.9167923463685
32.1806,2009,7,744,-5354.813587908547
32.1806,2009,8,744,-305.29335277729115
32.1806,2009,9,720,476.55461518067267
32.1806,2009,10,744,-641.0983631627867
32.1806,2009,11,720,4882.3601920587535
32.1806,2009,12,744,4387.102602515698
32.1806,2010,1,744,3026.805932208076
32.1806,2010,2,672,4863.869349730724
32.1806,2010,3,744,4405.0277594187755
32.1806,2010,4,720,-1947.7963394564638
32.1806,2010,5,744,-5531.625638544245
32.1806,2010,6,720,-6360.28407541676
32.1806,2010,7,744,-5389.673952221043
32.1806,2010,8,744,-5820.054494590235
32.1806,2010,9,720,-2112.163310743277
32.1806,2010,10,744,5610.609466002779
32.1806,2010,11,720,7459.870475500899
32.1806,2010,12,744,4518.447687121099
32.1806,2011,1,744,7487.871904035885
32.1806,2011,2,672,2692.6272674193146
32.1806,2011,3,744,1532.052907457833
32.1806,2011,4,720,-3066.3685566154627
32.1806,2011,5,744,-7996.352390387134
32.1806,2011,6,720,-6234.807977095206
32.1806,2011,7,744,-7371.5528385307
32.1806,2011,8,744,-1049.8767933667277
32.1806,2011,9,720,444.06305858515134
32.1806,2011,10,744,-135.90592334405667
32.1806,2011,11,720,4555.5000824552735
32.1806,2011,12,744,-1794.530944634282
32.1806,2012,1,744,5625.776906459234
32.1806,2012,2,696,3020.017707108685
32.1806,2012,3,744,1297.010613391423
32.1806,2012,4,720,-1570.9084250840356
32.1806,2012,5,744,-4317.275807873527
32.1806,2012,6,720,-4887.698848256716
32.1806,2012,7,744,-7449.157807765925
32.1806,2012,8,744,-4565.328866713766
32.1806,2012,9,720,614.1222394605176
32.1806,2012,10,744,42.14356415871976
32.1806,2012,11,720,4448.479471122687
32.1806,2012,12,744,3671.0862758861977
32.1806,2013,1,744,6928.585795456389
32.1806,2013,2,672,4114.972557776052
32.1806,2013,3,744,3168.1919331063273
32.1806,2013,4,720,-1917.8857226122732
32.1806,2013,5,744,-3971.6420132295434
32.1806,2013,6,720,-5824.297135277356
32.1806,2013,7,744,-2440.2962125528948
32.1806,2013,8,744,-4564.091429846689
32.1806,2013,9,720,1727.673998473093
32.1806,2013,10,744,1150.250600956156
32.1806,2013,11,720,-175.1149943608501
32.1806,2013,12,744,4927.332183342219
32.1806,2014,1,744,7094.190203610274
32.1806,2014,2,672,4734.468808773585
32.1806,2014,3,744,5631.751958760258
32.1806,2014,4,720,-2278.1919829658787
