Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D)
1/11/1985 8:00,544.382,3.173,19719.619
1/12/1985 8:00,162.39,21.387,3815.464
1/01/1986 8:00,45.258,3.013,477.326
1/02/1986 8:00,25.72,0.804,1310.352
1/03/1986 8:00,25.146,0.329,2353.631
1/04/1986 8:00,0.916,0.116,5.812
1/05/1986 8:00,0.114,0,0.854
1/06/1986 8:00,0.227,0.013,0.754
1/07/1986 8:00,24.566,0.061,718.504
1/08/1986 8:00,1.034,0.366,2.781
1/09/1986 8:00,175.169,0.261,3012.075
1/10/1986 8:00,14.292,0.854,268.928
1/11/1986 8:00,6.265,0.175,64.721
1/12/1986 8:00,31.136,0.01,314.248
1/01/1987 8:00,0.565,0,3.093
1/02/1987 8:00,2.638,0,187.092
1/03/1987 8:00,0,0,0
1/04/1987 8:00,2.257,0,51.453
1/05/1987 8:00,0,0,0
1/06/1987 8:00,19.935,0,225.129
1/07/1987 8:00,4.793,0.23,43.724
1/08/1987 8:00,0.158,0.061,0.433
1/09/1987 8:00,281.869,0.433,5702.225
1/10/1987 8:00,20.727,0.767,330.763
1/11/1987 8:00,20.139,0.139,546.865
1/12/1987 8:00,412.879,0.96,17608.628
1/01/1988 8:00,0.462,0.094,2.03
1/02/1988 8:00,19.989,0.202,572.876
1/03/1988 8:00,91.544,1.503,2737.378
1/04/1988 8:00,7.245,1.246,223.981
1/05/1988 8:00,672.801,3.763,4237.172
1/06/1988 8:00,33.646,7.544,233.268
1/07/1988 8:00,70.299,17.057,957.051
1/08/1988 8:00,392.144,6.438,16138.271
1/09/1988 8:00,4.757,3.093,16.587
1/10/1988 8:00,214.498,1.943,4538.839
1/11/1988 8:00,2.52,0.261,9.943
1/12/1988 8:00,0.854,0.261,3.254
1/01/1989 8:00,0.619,0.202,1.556
1/02/1989 8:00,68.82,0.202,836.528
1/03/1989 8:00,106.404,1.498,4606.78
1/04/1989 8:00,271.328,0.66,8195.224
1/05/1989 8:00,977.907,14.488,11276.25
1/06/1989 8:00,395.788,50.22,5756.927
1/07/1989 8:00,378.671,27.604,5002.99
1/08/1989 8:00,53.428,12.144,306.928
1/09/1989 8:00,14.865,4.488,229.758
1/10/1989 8:00,2.443,1.196,4.488
1/11/1989 8:00,0.881,0.366,1.296
1/12/1989 8:00,6.147,0.405,28.174
1/01/1990 8:00,43.645,0.405,1031.209
1/02/1990 8:00,0.458,0.106,1.829
1/03/1990 8:00,1168.511,0.105,29382.029
1/04/1990 8:00,113.773,4.892,1302.644
1/05/1990 8:00,776.036,26.126,12262.609
1/06/1990 8:00,137.905,8.651,2729.561
1/07/1990 8:00,260.458,40.185,3670.204
1/08/1990 8:00,29.293,8.364,380.16
1/09/1990 8:00,178.566,6.311,6578.289
1/10/1990 8:00,62.017,5.511,1790.86
1/11/1990 8:00,34.573,1.886,601.938
1/12/1990 8:00,3.07,0.616,16.656
1/01/1991 8:00,0.353,0.051,1.006
1/02/1991 8:00,0.155,0.061,0.66
1/03/1991 8:00,0.068,0,0.261
1/04/1991 8:00,0,0,0
1/05/1991 8:00,0,0,0
1/06/1991 8:00,0,0,0
1/07/1991 8:00,182.396,0,3933.38
1/08/1991 8:00,7.239,0.447,108.805
1/09/1991 8:00,0.33,0.128,0.707
1/10/1991 8:00,0.084,0,0.329
1/11/1991 8:00,0,0,0
1/12/1991 8:00,0,0,0
1/01/1992 8:00,45.939,0,2238.429
1/02/1992 8:00,40.152,0.994,972.866
1/03/1992 8:00,131.448,0.366,6139.905
1/04/1992 8:00,243.191,1.006,7251.237
1/05/1992 8:00,252.795,13.382,5065.925
1/06/1992 8:00,9.161,3.013,26.846
1/07/1992 8:00,12.329,1.451,198.576
1/08/1992 8:00,8.52,2.413,49.341
1/09/1992 8:00,5.09,1.829,15.807
1/10/1992 8:00,2.162,0.132,7.416
1/11/1992 8:00,0.043,0,0.139
1/12/1992 8:00,3.765,0,56.554
1/01/1993 8:00,432.645,2.306,5835.786
1/02/1993 8:00,3.94,0.907,17.94
1/03/1993 8:00,0.636,0.294,1.246
1/04/1993 8:00,64.045,0.66,1140.472
1/05/1993 8:00,2.261,0.572,11.129
1/06/1993 8:00,0.583,0.294,0.907
1/07/1993 8:00,6.565,0.294,53.124
1/08/1993 8:00,,,
1/09/1993 8:00,,,
1/10/1993 8:00,,,
1/11/1993 8:00,,,
1/12/1993 8:00,0.68,0.29,1.296
1/01/1994 8:00,36.346,0.15,771.945
1/02/1994 8:00,0.239,0.019,0.907
1/03/1994 8:00,0.717,0,10.803
1/04/1994 8:00,2.342,0.105,76.773
1/05/1994 8:00,13.255,0.23,371.891
1/06/1994 8:00,4.3,0.483,43.003
1/07/1994 8:00,0.175,0.04,0.483
1/08/1994 8:00,0.252,0.041,0.531
1/09/1994 8:00,0.011,0,0.041
1/10/1994 8:00,0,0,0
1/11/1994 8:00,0,0,0
1/12/1994 8:00,9.146,0,1806.254
1/01/1995 8:00,10.577,0.072,320.183
1/02/1995 8:00,329.667,1.086,7766.852
1/03/1995 8:00,52.263,0.707,895.468
1/04/1995 8:00,679.097,3.358,16474.593
1/05/1995 8:00,3.184,0.903,14.884
1/06/1995 8:00,36.844,1.011,357.719
1/07/1995 8:00,72.198,2.751,828.788
1/08/1995 8:00,5.337,1.889,18.992
1/09/1995 8:00,0.931,0.278,1.889
1/10/1995 8:00,4.418,0.36,35.85
1/11/1995 8:00,1.279,0.397,5.076
1/12/1995 8:00,56.416,0.038,1023.801
1/01/1996 8:00,44.478,3.156,595.699
1/02/1996 8:00,117.325,2.451,1150.852
1/03/1996 8:00,4.528,1.696,17.16
1/04/1996 8:00,1.254,0.305,3.653
1/05/1996 8:00,0.046,0,0.335
1/06/1996 8:00,229.132,0.015,9070.55
1/07/1996 8:00,24.897,3.941,307.288
1/08/1996 8:00,5.309,0.956,55.699
1/09/1996 8:00,27.806,0.503,1023.801
1/10/1996 8:00,8.258,0.709,117.101
1/11/1996 8:00,5.133,0.956,105.696
1/12/1996 8:00,59.405,0.956,960.199
1/01/1997 8:00,2.213,0.665,11.283
1/02/1997 8:00,3.81,0,82.377
1/03/1997 8:00,57.378,0.503,605.083
1/04/1997 8:00,376.56,2.344,14132.167
1/05/1997 8:00,0.52,0.081,2.344
1/06/1997 8:00,49.542,0.024,854.727
1/07/1997 8:00,136.998,3.415,3490.245
1/08/1997 8:00,52.592,5.86,1269.103
1/09/1997 8:00,2.69,1.068,5.86
1/10/1997 8:00,6.383,0.903,109.925
1/11/1997 8:00,20.648,0.69,473.23
1/12/1997 8:00,0.583,0.147,1.634
1/01/1998 8:00,0.009,0,0.147
1/02/1998 8:00,6.276,0,143.203
1/03/1998 8:00,2.336,0.305,12.765
1/04/1998 8:00,0.239,0,1.45
1/05/1998 8:00,0.611,0,5.604
1/06/1998 8:00,155.045,0.582,5735.058
1/07/1998 8:00,84.734,5.604,1915.794
1/08/1998 8:00,73.265,8.606,1131.163
1/09/1998 8:00,442.544,15.851,10344.141
1/10/1998 8:00,131.45,19.531,1581.37
1/11/1998 8:00,5.701,1.352,19.531
1/12/1998 8:00,179.958,0.852,4328.804
1/01/1999 8:00,17.876,2.38,631.346
1/02/1999 8:00,192.749,0.803,7224.387
1/03/1999 8:00,163.278,14.321,1182.781
1/04/1999 8:00,106.488,6.161,2587.563
1/05/1999 8:00,444.59,6.275,3976.128
1/06/1999 8:00,17.806,7.584,49.343
1/07/1999 8:00,528.482,26.216,2622.924
1/08/1999 8:00,2363.073,28.256,26234.057
1/09/1999 8:00,65.185,28.504,588.718
1/10/1999 8:00,38.991,7.802,1302.95
1/11/1999 8:00,70.648,2.83,2476.961
1/12/1999 8:00,93.543,11.103,1839.617
1/01/2000 8:00,12.189,2.236,455.521
1/02/2000 8:00,165.564,7.772,4219.132
1/03/2000 8:00,2.501,0.852,7.772
1/04/2000 8:00,798.851,0.803,23404.415
1/05/2000 8:00,179.355,27.764,3446.788
1/06/2000 8:00,24.832,3.602,146.652
1/07/2000 8:00,5.206,2.4,17.686
1/08/2000 8:00,26.62,2.379,673.259
1/09/2000 8:00,9.151,1.634,445.856
1/10/2000 8:00,0.822,0.251,1.654
1/11/2000 8:00,0.825,0.067,2.093
1/12/2000 8:00,108.659,0.622,1256.547
1/01/2001 8:00,20.417,0.509,386.298
1/02/2001 8:00,0.3,0.081,2.143
