lat (degrees_north),lon (degrees_east),time (UTC),old SST,new SST
-32.23,152.61,2005-04-15T21:20:00Z,295.65845,
-32.23,152.61,2005-05-16T09:20:00Z,294.10065,
-32.23,152.61,2005-06-15T21:20:00Z,292.28162,
-32.23,152.61,2005-07-16T09:20:00Z,290.54715,
-32.23,152.61,2005-08-16T09:20:00Z,290.85342,
-32.23,152.61,2005-09-15T21:20:00Z,291.4204,
-32.23,152.61,2005-10-16T09:20:00Z,292.0174,
-32.23,152.61,2005-11-15T21:20:00Z,293.96072,
-32.23,152.61,2005-12-16T09:20:00Z,296.06796,
-32.23,152.61,2006-01-16T09:20:00Z,296.01294,
-32.23,152.61,2006-02-14T21:20:00Z,296.98114,
-32.23,152.61,2006-03-16T09:20:00Z,296.67395,
-32.23,152.61,2006-04-15T21:20:00Z,297.72595,
-32.23,152.61,2006-05-16T09:20:00Z,293.24292,
-32.23,152.61,2006-06-15T21:20:00Z,291.69125,
-32.23,152.61,2006-07-16T09:20:00Z,291.83972,
-32.23,152.61,2006-08-16T09:20:00Z,292.68045,
-32.23,152.61,2006-09-15T21:20:00Z,292.33536,
-32.23,152.61,2006-10-16T09:20:00Z,291.69244,
-32.23,152.61,2006-11-15T21:20:00Z,294.04913,
-32.23,152.61,2006-12-16T09:20:00Z,293.07455,
-32.23,152.61,2007-01-16T09:20:00Z,294.73383,
-32.23,152.61,2007-02-14T21:20:00Z,295.95114,
-32.23,152.61,2007-03-16T09:20:00Z,297.11322,
-32.23,152.61,2007-04-15T21:20:00Z,296.48465,
-32.23,152.61,2007-05-16T09:20:00Z,294.10095,
-32.23,152.61,2007-06-15T21:20:00Z,292.97153,
-32.23,152.61,2007-07-16T09:20:00Z,291.49423,
-32.23,152.61,2007-08-16T09:20:00Z,291.24802,
-32.23,152.61,2007-09-15T21:20:00Z,291.17737,
-32.23,152.61,2007-10-16T09:20:00Z,292.83054,
-32.23,152.61,2007-11-15T21:20:00Z,293.0804,
-32.23,152.61,2008-01-16T09:20:00Z,297.1463,
-32.23,152.61,2008-02-15T09:20:00Z,297.01422,
-32.23,152.61,2008-03-16T09:20:00Z,296.4128,
-32.23,152.61,2008-04-15T21:20:00Z,294.29788,
-32.23,152.61,2008-05-16T09:20:00Z,294.11246,
-32.23,152.61,2008-06-15T21:20:00Z,294.01184,
-32.23,152.61,2008-07-16T09:20:00Z,292.40717,
-32.23,152.61,2008-08-16T09:20:00Z,291.65952,
-32.23,152.61,2008-09-15T21:20:00Z,291.79385,
-32.23,152.61,2008-10-16T09:20:00Z,292.48874,
-32.23,152.61,2008-11-15T21:20:00Z,293.51648,
-32.23,152.61,2008-12-16T09:20:00Z,294.84576,
-32.23,152.61,2009-01-16T09:20:00Z,295.5637,
-32.23,152.61,2009-02-14T21:20:00Z,296.7425,
-32.23,152.61,2009-03-16T09:20:00Z,294.5079,
-32.23,152.61,2009-04-15T21:20:00Z,295.79413,
-32.23,152.61,2009-05-16T09:20:00Z,295.26556,
-32.23,152.61,2009-06-15T21:20:00Z,293.2412,
-32.23,152.61,2009-07-16T09:20:00Z,291.70093,
