Location,Year,Month,count,DownWind
32.1806,2000,6,720,-11562.150466554656
32.1806,2000,7,744,-8050.834967877558
32.1806,2000,8,744,-12403.253982776061
32.1806,2000,9,720,-6309.655229883812
32.1806,2000,10,744,892.8637326042647
32.1806,2000,11,720,4841.0651560374645
32.1806,2000,12,744,5575.148060926278
32.1806,2001,1,744,9501.075620752115
32.1806,2001,2,672,10331.254337204173
32.1806,2001,3,744,12839.079247360387
32.1806,2001,4,720,-2194.93015948116
32.1806,2001,5,744,-6489.437129000486
32.1806,2001,6,720,-11738.326121087286
32.1806,2001,7,744,-9586.140566528858
32.1806,2001,8,744,-18130.92497640427
32.1806,2001,9,720,-6213.453352303365
32.1806,2001,10,744,-5743.686962222097
32.1806,2001,11,720,3787.723539442927
32.1806,2001,12,744,2794.733486622656
32.1806,2002,1,744,10855.114396046229
32.1806,2002,2,672,7866.386164005042
32.1806,2002,3,744,13968.788396323074
32.1806,2002,4,720,3950.2166777595908
32.1806,2002,5,744,-6615.125359356394
32.1806,2002,6,720,-12691.54141746581
32.1806,2002,7,744,-14579.092259165183
32.1806,2002,8,744,-4854.641606236245
32.1806,2002,9,720,-7593.796499857634
32.1806,2002,10,744,2289.116782735215
32.1806,2002,11,720,7951.4511097817885
32.1806,2002,12,744,7136.75803183772
32.1806,2003,1,744,13269.389079051456
32.1806,2003,2,672,10513.687886750307
32.1806,2003,3,744,8690.943381546684
32.1806,2003,4,720,5508.220404086973
32.1806,2003,5,744,2790.596911952707
32.1806,2003,6,720,-13626.619424906905
32.1806,2003,7,744,-10722.425808556573
32.1806,2003,8,744,-8213.540238228588
32.1806,2003,9,720,-7613.842977104274
32.1806,2003,10,744,917.3649825723639
32.1806,2003,11,720,4983.723949141854
32.1806,2003,12,744,9426.086946607265
32.1806,2004,1,744,2758.352842730619
32.1806,2004,2,696,8551.890833026353
32.1806,2004,3,744,9937.961545508217
32.1806,2004,4,720,-53.24514062334391
32.1806,2004,5,744,-10017.617124408882
32.1806,2004,6,720,-15809.245926395413
32.1806,2004,7,744,-10090.696610244511
32.1806,2004,8,744,-13041.665340170326
32.1806,2004,9,720,-1557.4733962414884
32.1806,2004,10,744,7652.026743288343
32.1806,2004,11,720,3834.7107850527605
32.1806,2004,12,744,6343.914553432286
32.1806,2005,1,744,12847.352396700271
32.1806,2005,2,672,2913.1031617932845
32.1806,2005,3,744,4771.697980803063
32.1806,2005,4,720,1880.7626165999736
32.1806,2005,5,744,622.0771907488629
32.1806,2005,6,720,-6246.545949662903
32.1806,2005,7,744,-10539.674060958909
32.1806,2005,8,744,-10094.30285482857
32.1806,2005,9,720,-6187.67931012912
32.1806,2005,10,744,4822.9278671000275
32.1806,2005,11,720,5749.4145271497055
32.1806,2005,12,744,657.6093065034901
32.1806,2006,1,744,13227.386936248986
32.1806,2006,2,672,8494.190919681538
32.1806,2006,3,744,12755.81742387567
32.1806,2006,4,720,-7336.056078115136
32.1806,2006,5,744,-7126.787826222977
